사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
56,2023.1.9 3:44,2023.1.9 3:46,2023.1.9 3:51,2023.1.9 4:00,2023.1.9 4:10,0:02,0:05,0:09,0:10,서울특별시,구로구,126.8478634,37.49774091,침수,구로소방서,구조대,타기관 인계,겨울
57,2023.1.9 6:01,2023.1.9 6:02,2023.1.9 6:07,2023.1.9 6:15,2023.1.9 6:20,0:01,0:05,0:08,0:05,서울특별시,동작구,126.956862,37.51478571,수색,119특수구조단,반포수난구조대,타기관 인계,겨울
58,2023.1.9 11:49,2023.1.9 11:54,2023.1.9 12:01,2023.1.9 12:10,2023.1.9 12:15,0:05,0:07,0:09,0:05,서울특별시,강서구,126.8653727,37.56261647,기타 수난 ,119특수구조단,여의도수난구조대,기타안전조치,겨울
59,2023.1.9 12:55,2023.1.9 13:00,2023.1.9 13:08,2023.1.9 14:10,2023.1.9 14:20,0:05,0:08,1:02,0:10,서울특별시,용산구,127.0104121,37.53150224,기타 수난 ,119특수구조단,뚝섬수난구조대,인명검색,겨울
60,2023.1.9 17:49,2023.1.9 17:50,2023.1.9 18:02,2023.1.9 18:06,2023.1.9 18:10,0:01,0:12,0:04,0:04,서울특별시,구로구,126.8802265,37.51637086,익수,구로소방서,신도림119안전센터,자체처리,겨울
61,2023.1.9 18:05,2023.1.9 18:07,2023.1.9 18:12,2023.1.9 18:22,2023.1.9 18:30,0:02,0:05,0:10,0:08,서울특별시,마포구,126.9415931,37.53665456,수색,영등포소방서,구조대,타기관 인계,겨울
62,2023.1.9 19:21,2023.1.9 19:28,2023.1.9 19:32,2023.1.9 20:05,2023.1.9 20:06,0:07,0:04,0:33,0:01,서울특별시,서초구,126.9806855,37.50635284,기타 수난 ,119특수구조단,반포수난구조대,인명검색,겨울
63,2023.1.9 19:52,2023.1.9 19:56,2023.1.9 19:57,2023.1.9 19:57,2023.1.9 20:20,0:04,0:01,0:00,0:23,서울특별시,강동구,127.116135,37.54217377,기타 수난 ,119특수구조단,광나루수난구조대,기타안전조치,겨울
64,2023.1.9 21:04,2023.1.9 21:05,2023.1.9 21:07,2023.1.9 21:09,2023.1.9 21:15,0:01,0:02,0:02,0:06,서울특별시,강남구,127.0556302,37.52728238,기타 수난 ,119특수구조단,뚝섬수난구조대,타기관 인계,겨울
65,2023.1.9 22:39,2023.1.9 22:40,2023.1.9 22:44,2023.1.9 23:05,2023.1.9 23:13,0:01,0:04,0:21,0:08,서울특별시,용산구,127.0113169,37.52904179,기타 수난 ,119특수구조단,반포수난구조대,구급대 인계,겨울
66,2023.1.9 23:51,2023.1.9 23:53,2023.1.9 23:56,2023.1.9 23:58,2023.1.10 0:02,0:02,0:03,0:02,0:04,서울특별시,마포구,126.9286215,37.54258433,기타 수난 ,마포소방서,구조대,안전조치,겨울
67,2023.1.9 23:51,2023.1.9 23:53,2023.1.9 23:56,2023.1.9 23:56,2023.1.10 0:02,0:02,0:03,0:00,0:06,서울특별시,마포구,126.9286215,37.54258433,수색,마포소방서,현장대응단,타기관 인계,겨울
68,2023.1.10 7:06,2023.1.10 7:08,2023.1.10 7:13,2023.1.10 7:15,2023.1.10 7:35,0:02,0:05,0:02,0:20,서울특별시,마포구,126.941981,37.53708934,기타 수난 ,영등포소방서,여의도119안전센터,항공대 인계,겨울
69,2023.1.10 7:06,2023.1.10 7:08,2023.1.10 7:13,2023.1.10 7:16,2023.1.10 7:22,0:02,0:05,0:03,0:06,서울특별시,마포구,126.941981,37.53708934,수색,영등포소방서,구조대,타기관 인계,겨울
70,2023.1.10 14:04,2023.1.10 14:05,2023.1.10 14:10,2023.1.10 14:14,2023.1.10 14:35,0:01,0:05,0:04,0:21,서울특별시,성북구,127.0046222,37.61284499,침수,성북소방서,현장대응단,타 기관처리,겨울
71,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:40,2023.1.10 16:45,2023.1.10 16:56,0:00,0:07,0:05,0:11,서울특별시,송파구,127.1015286,37.52428586,익수,강동소방서,구조대,타 기관처리,겨울
72,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:40,2023.1.10 16:55,2023.1.10 17:00,0:00,0:07,0:15,0:05,서울특별시,송파구,127.1015286,37.52428586,기타 수난 ,119특수구조단,뚝섬수난구조대,자체처리,겨울
73,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:38,2023.1.10 16:50,0:00,0:00,0:05,0:12,서울특별시,송파구,127.1015286,37.52428586,기타 수난 ,119특수구조단,광나루수난구조대,자체처리,겨울
74,2023.1.10 20:19,2023.1.10 20:21,2023.1.10 20:23,2023.1.10 20:30,2023.1.10 20:35,0:02,0:02,0:07,0:05,서울특별시,송파구,127.1463862,37.50008494,기타 수난 ,송파소방서,구조대,타기관 인계,겨울
75,2023.1.10 21:54,2023.1.10 21:55,2023.1.10 22:00,2023.1.10 22:04,2023.1.10 22:10,0:01,0:05,0:04,0:06,서울특별시,강서구,126.8593664,37.56710332,기타 수난 ,강서소방서,구조대,기타 구조활동,겨울
76,2023.1.10 23:56,2023.1.10 23:58,2023.1.11 0:02,2023.1.11 0:04,2023.1.11 0:22,0:02,0:04,0:02,0:18,서울특별시,용산구,127.0088978,37.52980971,기타 수난 ,용산소방서,현장대응단,인명검색,겨울
77,2023.1.10 23:56,2023.1.11 0:10,2023.1.11 0:14,2023.1.11 0:30,2023.1.11 0:35,0:14,0:04,0:16,0:05,서울특별시,용산구,127.0088978,37.52980971,기타 수난 ,강남소방서,영동119안전센터,인명검색,겨울
78,2023.1.10 23:56,2023.1.11 0:12,2023.1.11 0:16,2023.1.11 0:30,2023.1.11 0:35,0:16,0:04,0:14,0:05,서울특별시,용산구,127.0088978,37.52980971,기타 수난 ,119특수구조단,뚝섬수난구조대,인명검색,겨울
79,2023.1.10 23:56,2023.1.10 23:58,2023.1.11 0:02,2023.1.11 0:06,2023.1.11 0:15,0:02,0:04,0:04,0:09,서울특별시,동작구,127.0088978,37.52980971,수색,119특수구조단,반포수난구조대,인명검색,겨울
80,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:49,2023.1.11 2:52,2023.1.11 2:55,0:02,0:07,0:03,0:03,서울특별시,영등포구,126.9288376,37.52024041,기타 수난 ,영등포소방서,여의도119안전센터,타기관 인계,겨울
81,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:47,2023.1.11 2:54,2023.1.11 3:07,0:02,0:05,0:07,0:13,서울특별시,영등포구,126.9288376,37.52024041,기타 수난 ,영등포소방서,구조대,인명검색,겨울
82,2023.1.11 2:40,2023.1.11 2:42,2023.1.11 2:49,2023.1.11 2:54,2023.1.11 3:05,0:02,0:07,0:05,0:11,서울특별시,영등포구,126.9288376,37.52024041,기타 수난 ,마포소방서,염리119안전센터,타기관 인계,겨울
83,2023.1.11 16:09,2023.1.11 16:11,2023.1.11 16:14,2023.1.11 16:22,2023.1.11 16:30,0:02,0:03,0:08,0:08,서울특별시,도봉구,127.0289724,37.6878932,익수,119특수구조단,도봉산산악구조대,구급대 인계,겨울
84,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 18:00,2023.1.11 18:15,0:01,0:06,0:11,0:15,서울특별시,서초구,126.9961048,37.51539362,기타 수난 ,용산소방서,구조대,타기관 인계,겨울
85,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 17:51,2023.1.11 18:10,0:01,0:06,0:02,0:19,서울특별시,서초구,126.9961048,37.51539362,기타 수난 ,용산소방서,현장대응단,타기관 인계,겨울
86,2023.1.11 17:42,2023.1.11 17:43,2023.1.11 17:49,2023.1.11 17:55,2023.1.11 18:00,0:01,0:06,0:06,0:05,서울특별시,서초구,126.9961048,37.51539362,기타 수난 ,119특수구조단,반포수난구조대,타기관 인계,겨울
